Date,Commit,Downstream Project,Author,Subject
2018/03/02,4b56ee2bb0401ccf35bdecaaf86b2212e98db919,platform/frameworks/multidex,fake_9mQf0a4XQci07TfAIYjGZQ@fakeemail.com,Prefix temp files to ensure they are cleaned up
2018/03/02,b2483811cf6f4ef5a2999b05011bb0439070dcc5,platform/frameworks/multidex,fake_bLlpMvOJRFq5KNwc7GxC1A@fakeemail.com,Use a rewriten makeDexElement on V 14 to 18
2018/03/02,f5832474ebd6ec48f0f37bc1fd9e2576068e4ef2,platform/frameworks/multidex,fake_bLlpMvOJRFq5KNwc7GxC1A@fakeemail.com,Mark extracted dex files as read only
2018/03/02,67bac2efbbbbdb0fcb7bff7410950cc341c5843d,platform/frameworks/multidex,fake_bLlpMvOJRFq5KNwc7GxC1A@fakeemail.com,Tag library jar with git version
2018/03/02,a2e21e78613b5b5ceaadadc2989c592cec6a661c,platform/frameworks/multidex,fake_bLlpMvOJRFq5KNwc7GxC1A@fakeemail.com,Add missing dependency to jack-meta content
2018/03/02,a5272c3d40c2b81c266454b600d4d763b2adc009,platform/frameworks/multidex,fake_PNKoS4VGRO65-23fnHB_PQ@fakeemail.com,Fix pom files to contain all the information
2018/03/02,38be0f4882057d25c26a4aac93671a39a8cdff02,platform/frameworks/multidex,fake_bLlpMvOJRFq5KNwc7GxC1A@fakeemail.com,Fix installation on some JB
2018/03/02,87738871b50552a98a083f8e840089e8889b3e2a,platform/frameworks/multidex,fake_9mQf0a4XQci07TfAIYjGZQ@fakeemail.com,Use context.getApplicationInfo()
2018/03/02,50823410c9df7d1b040ebceabde75be67b879dfa,platform/frameworks/multidex,fake_bLlpMvOJRFq5KNwc7GxC1A@fakeemail.com,Allow multidex of instrumentations
2018/03/02,fd97bb8f04182220658b39cce4601aa9bada0b6f,platform/frameworks/multidex,fake_PNKoS4VGRO65-23fnHB_PQ@fakeemail.com,Update multidex dist task to build and zip maven repository instead of just aar.
2018/03/02,048fbf7ccf53782a265c277df38c273d43e5450e,platform/frameworks/multidex,fake_4NrhLtemSvmD47jYScrqww@fakeemail.com,Prevent concurrent extractions
2018/03/02,78dfa216069223e64501cc90df9d9042b6086d7f,platform/frameworks/multidex,fake_bLlpMvOJRFq5KNwc7GxC1A@fakeemail.com,Fix gradle build: set source level to Java 7
2018/03/02,93728d8ae04a1ad662eaeb011980ba63b459f056,platform/frameworks/multidex,fake_bLlpMvOJRFq5KNwc7GxC1A@fakeemail.com,Mark MultiDexTestRunner as deprecated
2018/03/02,8be7c7a5a6377745054dcd3f1176a7f4cb96b153,platform/frameworks/multidex,fake_WHh-s8W-S_6f8u43KPqCVQ@fakeemail.com,Fix typo in javadoc
2018/03/02,b68f891c8809eab4f48f29367b03f596c518d22d,platform/frameworks/multidex,fake_bLlpMvOJRFq5KNwc7GxC1A@fakeemail.com,Keep InstrumentationTestCase in main dex
2018/03/02,0813385e7bc883ad6316879f24b07f1b35129d51,platform/frameworks/multidex,fake_bLlpMvOJRFq5KNwc7GxC1A@fakeemail.com,Reinstall on IOException when patching the CL
2018/03/02,07bca8fb7f8d97223a1c27dd5f18008f56e406af,platform/frameworks/multidex,fake_bLlpMvOJRFq5KNwc7GxC1A@fakeemail.com,Change multidex version file
2018/03/02,74e66b8013b5b9002f67e53825c189a18597b1e8,platform/frameworks/multidex,fake_bLlpMvOJRFq5KNwc7GxC1A@fakeemail.com,Fix handling of suppressed exception
2018/03/02,05f668cdd54faba1e63a817b5a5541187323ce97,platform/frameworks/multidex,fake_HFBVIRHzR8upwrTWriT5Hw@fakeemail.com,"Clean up multidex gradle build, bump version to 1.0.2 for release"
2018/03/02,864bc628e347c99f78869515f4306c480e049902,platform/frameworks/multidex,fake_bLlpMvOJRFq5KNwc7GxC1A@fakeemail.com,Bump multidex library version to 1.0.3
2018/03/02,6450225f3eaf865b0838e84c4656f6dd6048d87b,platform/frameworks/multidex,fake_eQzJ5iU2QcCwUe0mAYw3lw@fakeemail.com,Add OWNERS in frameworks/multidex
2018/03/02,eadfa6df97992f26ffb5de91865f87a4b62dc84a,platform/frameworks/multidex,fake_PNKoS4VGRO65-23fnHB_PQ@fakeemail.com,Fix multidex artifactId.
2018/03/02,9958145a97586375966bc133c900ead0e1550f2a,platform/frameworks/multidex,fake_bLlpMvOJRFq5KNwc7GxC1A@fakeemail.com,Check crc and time of secondary dex files
2018/03/02,9dfecbdec202ce5133f8ad852d8042a42b511cc5,platform/external/safe-iop,fake_eQzJ5iU2QcCwUe0mAYw3lw@fakeemail.com,Use -Werror in external/safe-iop
2018/03/02,03a95657a65dafbed1ca444ae04e2be05a1e238d,platform/external/apache-http,fake_4wcM2I_rR7eCuZa5k_UyuQ@fakeemail.com,Protect org.apache.http.legacy API
2018/03/02,575d371036a15ab9fb70f254ed9eedae84662b40,platform/external/apache-http,fake_XS0O1HOETRCiH40ZBPoyOQ@fakeemail.com,Emit all APIs using Predicates.
